carat	cut	color	clarity	depth	table	x	y	z
1.1	Ideal	H	SI2	62.0	55.0	6.61	6.65	4.11
1.29	Ideal	H	SI1	62.6	56.0	6.96	6.93	4.35
1.2	Premium	I	SI1	61.1	58.0	6.88	6.8	4.18
1.5	Ideal	F	SI1	60.9	56.0	7.43	7.36	4.5
0.9	Very Good	F	VS2	61.7	57.0	6.17	6.21	3.82
0.32	Ideal	G	IF	61.7	54.0	4.39	4.42	2.72
0.3	Very Good	H	IF	62.9	58.0	4.26	4.29	2.69
0.61	Ideal	E	VVS2	61.3	54.0	5.51	5.59	3.4
2.01	Premium	G	SI2	61.2	57.2	8.08	8.14	4.97
0.31	Ideal	I	VS1	61.2	55.0	4.37	4.39	2.68
0.64	Ideal	H	SI1	61.7	55.0	5.54	5.57	3.43
0.41	Ideal	E	VS2	61.6	55.0	4.75	4.79	2.94
0.52	Ideal	F	VS1	62.0	57.0	5.16	5.13	3.19
0.3	Premium	G	IF	61.0	62.0	4.34	4.32	2.64
1.01	Good	H	SI2	64.1	56.0	6.37	6.3	4.06
2.01	Premium	I	SI1	61.5	60.0	8.12	8.01	4.96
0.32	Ideal	G	IF	60.5	57.0	4.42	4.44	2.68
1.51	Ideal	I	SI1	61.1	59.0	7.4	7.37	4.51
2.5	Fair	G	I1	65.1	59.0	8.55	8.39	5.53
0.7	Ideal	G	SI1	61.9	58.0	5.66	5.69	3.51
0.34	Ideal	I	VS1	62.0	56.0	4.5	4.53	2.8
1.7	Ideal	G	VVS1	61.0	56.0	7.67	7.62	4.66
1.2	Ideal	F	VS2	62.3	55.0	6.83	6.79	4.24
0.35	Premium	E	VS2	62.1	59.0	4.49	4.46	2.78
0.36	Very Good	G	VVS2	59.5	56.0	4.68	4.73	2.8
0.56	Ideal	G	VVS2	61.6	55.0	5.32	5.35	3.28
0.27	Ideal	H	VS1	62.3	56.0	4.15	4.17	2.59
0.33	Ideal	G	IF	61.7	55.0	4.47	4.45	2.75
0.38	Very Good	D	SI1	59.7	60.0	4.66	4.69	2.79
0.5	Very Good	H	SI1	62.9	58.0	5.01	5.04	3.16
1.21	Premium	H	VS2	60.8	62.0	6.82	6.78	4.13
0.33	Premium	G	SI1	62.3	59.0	4.39	4.44	2.75
0.31	Ideal	D	VS1	61.6	54.0	4.33	4.37	2.68
0.5	Premium	G	VVS2	61.6	60.0	5.13	5.1	3.15
0.52	Premium	E	VS1	61.7	58.0	5.17	5.11	3.17
0.38	Ideal	E	VS1	62.2	54.1	4.63	4.65	2.89
1.7	Premium	I	VS2	60.7	59.0	7.63	7.7	4.65
0.3	Premium	H	VS1	61.0	58.0	4.31	4.28	2.62
0.24	Ideal	H	VS2	61.1	56.0	3.99	4.03	2.45
0.54	Ideal	D	SI1	60.8	57.0	5.31	5.25	3.21
1.5	Premium	F	VVS2	58.8	58.0	7.51	7.43	4.39
0.4	Ideal	J	VVS2	61.9	55.0	4.74	4.79	2.95
0.61	Good	F	VS2	63.0	64.2	5.29	5.32	3.34
1.0	Very Good	I	VS2	64.0	54.0	6.28	6.34	4.04
0.72	Ideal	F	VS1	60.5	56.0	5.82	5.85	3.53
1.02	Fair	E	VS2	66.6	57.0	6.09	6.14	4.07
0.41	Ideal	F	VVS1	60.3	56.0	4.8	4.85	2.91
0.3	Ideal	D	VS1	62.0	54.0	4.34	4.3	2.68
0.28	Ideal	G	IF	61.3	57.0	4.25	4.27	2.6
0.31	Premium	G	VVS1	60.7	58.0	4.37	4.4	2.66
0.53	Ideal	F	VS2	61.3	55.0	5.22	5.25	3.21
0.33	Ideal	E	VS2	61.0	57.0	4.46	4.43	2.71
0.52	Very Good	H	VS2	63.5	58.0	5.08	5.09	3.23
1.5	Good	I	VS1	63.3	58.0	7.19	7.24	4.57
1.0	Very Good	I	SI1	58.5	61.0	6.51	6.55	3.82
1.91	Premium	G	SI2	61.9	58.0	7.9	7.84	4.87
1.51	Ideal	I	SI1	61.2	60.0	7.39	7.37	4.52
0.32	Premium	I	SI1	62.9	58.0	4.35	4.33	2.73
1.0	Premium	G	VS1	62.9	60.0	6.36	6.29	3.98
0.42	Premium	F	VVS2	60.3	59.0	4.86	4.83	2.92
1.21	Very Good	I	SI1	62.8	57.0	6.73	6.8	4.25
0.59	Very Good	G	SI1	59.3	58.0	5.45	5.51	3.25
0.75	Fair	F	VS1	55.8	70.0	6.09	5.98	3.37
2.01	Premium	H	VS2	62.8	58.0	7.99	7.9	4.99
0.77	Premium	F	VS2	62.4	59.0	5.85	5.81	3.64
0.61	Ideal	G	VVS2	62.4	53.8	5.42	5.45	3.39
1.35	Ideal	G	IF	62.2	57.0	7.07	7.11	4.41
1.01	Ideal	E	VVS2	62.7	56.0	6.42	6.46	4.04
0.3	Good	G	VS2	58.5	64.0	4.42	4.37	2.57
1.0	Very Good	D	SI1	60.1	60.0	6.47	6.55	3.91
0.5	Fair	E	SI2	68.6	56.0	4.87	4.75	3.3
0.42	Ideal	G	VVS2	62.1	57.0	4.8	4.77	2.97
0.77	Ideal	H	SI1	62.2	56.0	5.83	5.88	3.64
2.3	Premium	I	SI2	61.3	58.0	8.53	8.46	5.21
0.53	Very Good	G	VS1	60.9	56.0	5.24	5.27	3.2
