carat,cut,color,clarity,depth,table,price,x,y,z,color_classification,z_depth,table_width
1.1,5,5,2,62.0,55.0,4733,6.61,6.65,4.11,Near Colorless,25482.000000000004,36355.0
1.29,5,5,3,62.6,56.0,6424,6.96,6.93,4.35,Near Colorless,27231.0,38976.0
1.2,4,6,3,61.1,58.0,5510,6.88,6.8,4.18,Near Colorless,25539.8,39904.0
1.5,5,3,3,60.9,56.0,8770,7.43,7.36,4.5,Colorless,27405.0,41608.0
0.9,3,3,4,61.7,57.0,4493,6.17,6.21,3.82,Colorless,23569.399999999998,35169.0
0.32,5,4,8,61.7,54.0,918,4.39,4.42,2.72,Near Colorless,16782.4,23705.999999999996
0.3,3,5,8,62.9,58.0,789,4.26,4.29,2.69,Near Colorless,16920.1,24708.0
0.61,5,2,6,61.3,54.0,2823,5.51,5.59,3.4,Colorless,20842.0,29753.999999999996
2.01,4,4,2,61.2,57.2,18705,8.08,8.14,4.97,Near Colorless,30416.399999999998,46217.600000000006
0.31,5,6,5,61.2,55.0,507,4.37,4.39,2.68,Near Colorless,16401.600000000002,24035.0
0.64,5,5,3,61.7,55.0,1880,5.54,5.57,3.43,Near Colorless,21163.100000000002,30470.0
0.41,5,2,4,61.6,55.0,935,4.75,4.79,2.94,Colorless,18110.4,26125.0
0.52,5,3,5,62.0,57.0,1872,5.16,5.13,3.19,Colorless,19778.0,29412.0
0.3,4,4,8,61.0,62.0,956,4.34,4.32,2.64,Near Colorless,16104.000000000002,26908.0
1.01,2,5,2,64.1,56.0,3111,6.37,6.3,4.06,Near Colorless,26024.59999999999,35672.0
2.01,4,6,3,61.5,60.0,16499,8.12,8.01,4.96,Near Colorless,30504.000000000004,48719.99999999999
0.32,5,4,8,60.5,57.0,954,4.42,4.44,2.68,Near Colorless,16214.000000000002,25194.0
1.51,5,6,3,61.1,59.0,8342,7.4,7.37,4.51,Near Colorless,27556.1,43660.0
2.5,1,4,1,65.1,59.0,8711,8.55,8.39,5.53,Near Colorless,36000.299999999996,50445.00000000001
0.7,5,4,3,61.9,58.0,2567,5.66,5.69,3.51,Near Colorless,21726.899999999998,32828.0
0.34,5,6,5,62.0,56.0,555,4.5,4.53,2.8,Near Colorless,17360.0,25200.0
1.7,5,4,7,61.0,56.0,18445,7.67,7.62,4.66,Near Colorless,28426.0,42952.0
1.2,5,3,4,62.3,55.0,8486,6.83,6.79,4.24,Colorless,26415.199999999997,37565.0
0.35,4,2,4,62.1,59.0,984,4.49,4.46,2.78,Colorless,17263.8,26491.000000000004
0.36,3,4,6,59.5,56.0,858,4.68,4.73,2.8,Near Colorless,16660.0,26208.0
0.56,5,4,6,61.6,55.0,2066,5.32,5.35,3.28,Near Colorless,20204.8,29260.000000000004
0.27,5,5,5,62.3,56.0,464,4.15,4.17,2.59,Near Colorless,16135.699999999997,23240.000000000004
0.33,5,4,8,61.7,55.0,1052,4.47,4.45,2.75,Near Colorless,16967.5,24585.0
0.38,3,1,3,59.7,60.0,733,4.66,4.69,2.79,Colorless,16656.300000000003,27960.000000000004
0.5,3,5,3,62.9,58.0,1068,5.01,5.04,3.16,Near Colorless,19876.4,29058.0
1.21,4,5,4,60.8,62.0,5461,6.82,6.78,4.13,Near Colorless,25110.399999999998,42284.0
0.33,4,4,3,62.3,59.0,492,4.39,4.44,2.75,Near Colorless,17132.5,25901.0
0.31,5,1,5,61.6,54.0,696,4.33,4.37,2.68,Colorless,16508.800000000003,23382.0
0.5,4,4,6,61.6,60.0,1935,5.13,5.1,3.15,Near Colorless,19404.0,30780.0
0.52,4,2,5,61.7,58.0,1819,5.17,5.11,3.17,Colorless,19558.9,29986.0
0.38,5,2,5,62.2,54.1,1133,4.63,4.65,2.89,Colorless,17975.8,25048.3
1.7,4,6,4,60.7,59.0,11519,7.63,7.7,4.65,Near Colorless,28225.500000000004,45017.0
0.3,4,5,5,61.0,58.0,675,4.31,4.28,2.62,Near Colorless,15982.0,24998.0
0.24,5,5,4,61.1,56.0,391,3.99,4.03,2.45,Near Colorless,14969.500000000002,22344.0
0.54,5,1,3,60.8,57.0,1786,5.31,5.25,3.21,Colorless,19516.8,30266.999999999996
1.5,4,3,6,58.8,58.0,17203,7.51,7.43,4.39,Colorless,25813.199999999993,43558.0
0.4,5,7,6,61.9,55.0,662,4.74,4.79,2.95,Near Colorless,18260.5,26070.0
0.61,2,3,4,63.0,64.2,1971,5.29,5.32,3.34,Colorless,21042.0,33961.8
1.0,3,6,4,64.0,54.0,4739,6.28,6.34,4.04,Near Colorless,25856.0,33912.0
0.72,5,3,5,60.5,56.0,3759,5.82,5.85,3.53,Colorless,21356.5,32592.0
1.02,1,2,4,66.6,57.0,5350,6.09,6.14,4.07,Colorless,27106.2,34713.0
0.41,5,3,7,60.3,56.0,1295,4.8,4.85,2.91,Colorless,17547.300000000003,26880.0
0.3,5,1,5,62.0,54.0,848,4.34,4.3,2.68,Colorless,16616.0,23436.0
0.28,5,4,8,61.3,57.0,650,4.25,4.27,2.6,Near Colorless,15938.0,24225.0
0.31,4,4,7,60.7,58.0,816,4.37,4.4,2.66,Near Colorless,16146.200000000003,25346.0
0.53,5,3,4,61.3,55.0,1723,5.22,5.25,3.21,Colorless,19677.3,28709.999999999996
0.33,5,2,4,61.0,57.0,928,4.46,4.43,2.71,Colorless,16531.0,25422.0
0.52,3,5,4,63.5,58.0,1389,5.08,5.09,3.23,Near Colorless,20510.5,29464.0
1.5,2,6,5,63.3,58.0,8910,7.19,7.24,4.57,Near Colorless,28928.100000000002,41702.00000000001
1.0,3,6,3,58.5,61.0,4649,6.51,6.55,3.82,Near Colorless,22347.0,39711.0
1.91,4,4,2,61.9,58.0,9038,7.9,7.84,4.87,Near Colorless,30145.299999999996,45820.00000000001
1.51,5,6,3,61.2,60.0,8396,7.39,7.37,4.52,Near Colorless,27662.399999999998,44340.0
0.32,4,6,3,62.9,58.0,554,4.35,4.33,2.73,Near Colorless,17171.699999999997,25230.0
1.0,4,4,5,62.9,60.0,6989,6.36,6.29,3.98,Near Colorless,25034.199999999997,38160.0
0.42,4,3,6,60.3,59.0,1221,4.86,4.83,2.92,Colorless,17607.6,28674.0
1.21,3,6,3,62.8,57.0,5346,6.73,6.8,4.25,Near Colorless,26689.999999999996,38361.0
0.59,3,4,3,59.3,58.0,1555,5.45,5.51,3.25,Near Colorless,19272.5,31610.000000000004
0.75,1,3,5,55.8,70.0,2859,6.09,5.98,3.37,Colorless,18804.6,42630.0
2.01,4,5,4,62.8,58.0,13342,7.99,7.9,4.99,Near Colorless,31337.2,46342.0
0.77,4,3,4,62.4,59.0,3018,5.85,5.81,3.64,Colorless,22713.6,34515.0
0.61,5,4,6,62.4,53.8,2331,5.42,5.45,3.39,Near Colorless,21153.6,29159.6
1.35,5,4,8,62.2,57.0,14616,7.07,7.11,4.41,Near Colorless,27430.2,40299.0
1.01,5,2,6,62.7,56.0,9735,6.42,6.46,4.04,Colorless,25330.800000000003,35952.0
0.3,2,4,4,58.5,64.0,648,4.42,4.37,2.57,Near Colorless,15034.5,28288.0
