carat,cut,color,clarity,depth,table,price,x,y,z,color_classification,z_depth,table_width,volume,top_symmetry,vol_symmetry
1.1,5,5,2,62.0,55.0,4733,6.61,6.65,4.11,2.0,25482.000000000004,36355.0,180.66121500000003,0.9939849624060151,10.695012165450121
1.29,5,5,3,62.6,56.0,6424,6.96,6.93,4.35,2.0,27231.0,38976.0,209.81267999999997,1.0043290043290043,11.088000000000001
1.2,4,6,3,61.1,58.0,5510,6.88,6.8,4.18,2.0,25539.8,39904.0,195.55711999999997,1.011764705882353,11.192344497607657
1.5,5,3,3,60.9,56.0,8770,7.43,7.36,4.5,1.0,27405.0,41608.0,246.0816,1.0095108695652173,12.152177777777778
0.9,3,3,4,61.7,57.0,4493,6.17,6.21,3.82,1.0,23569.399999999998,35169.0,146.365974,0.9935587761674718,10.030287958115183
0.32,5,4,8,61.7,54.0,918,4.39,4.42,2.72,2.0,16782.4,23705.999999999996,52.778335999999996,0.9932126696832578,7.133749999999998
0.3,3,5,8,62.9,58.0,789,4.26,4.29,2.69,2.0,16920.1,24708.0,49.16082599999999,0.9930069930069929,6.793828996282527
0.61,5,2,6,61.3,54.0,2823,5.51,5.59,3.4,1.0,20842.0,29753.999999999996,104.72305999999999,0.9856887298747764,9.059088235294118
2.01,4,4,2,61.2,57.2,18705,8.08,8.14,4.97,2.0,30416.399999999998,46217.600000000006,326.88286400000004,0.9926289926289926,13.233641851106642
0.31,5,6,5,61.2,55.0,507,4.37,4.39,2.68,2.0,16401.600000000002,24035.0,51.413924,0.9954441913439637,7.158320895522388
0.64,5,5,3,61.7,55.0,1880,5.54,5.57,3.43,2.0,21163.100000000002,30470.0,105.84225400000001,0.9946140035906642,8.996443148688046
0.41,5,2,4,61.6,55.0,935,4.75,4.79,2.94,1.0,18110.4,26125.0,66.89235000000001,0.9916492693110647,7.738945578231293
0.52,5,3,5,62.0,57.0,1872,5.16,5.13,3.19,1.0,19778.0,29412.0,84.441852,1.0058479532163742,8.29805642633229
0.3,4,4,8,61.0,62.0,956,4.34,4.32,2.64,2.0,16104.000000000002,26908.0,49.496832,1.0046296296296295,7.101818181818182
1.01,2,5,2,64.1,56.0,3111,6.37,6.3,4.06,2.0,26024.59999999999,35672.0,162.93185999999997,1.011111111111111,9.88448275862069
2.01,4,6,3,61.5,60.0,16499,8.12,8.01,4.96,2.0,30504.000000000004,48719.99999999999,322.60435199999995,1.013732833957553,13.113145161290321
0.32,5,4,8,60.5,57.0,954,4.42,4.44,2.68,2.0,16214.000000000002,25194.0,52.594464,0.9954954954954954,7.322686567164179
